GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.order.service,OrderService,41,89,5,7,8,22,7,9,3,7
order-service,com.order,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
order-service,com.order.service.exception,OrderUpdateFailedException,4,0,0,0,2,0,1,0,1,0
order-service,com.order.service.exception,NoOrderWithUserIdException,4,0,0,0,2,0,1,0,1,0
order-service,com.order.service.exception,IncompatibleOrderException,4,0,0,0,2,0,1,0,1,0
order-service,com.order.service.exception,OrderExceptionHandler,28,3,0,0,4,1,4,1,4,1
order-service,com.order.service.exception,DeleteFaliureException,4,0,0,0,2,0,1,0,1,0
order-service,com.order.controller,OrderController,9,63,0,0,1,11,1,7,1,7
order-service,com.order.entity,OrderCart,420,3,56,0,12,1,53,1,25,1
order-service,com.order.entity,Order,246,52,50,0,0,8,29,15,4,15
